	official_title	brief_title	drug	phases	nct_id
87	A Phase 1 Adaptive Dose-Escalation Study to Evaluate the Tolerability, Safety, Pharmacokinetics, and Antitumor Activity of ADCT-301 in Patients With Relapsed or Refractory Hodgkin Lymphoma and Non-Hodgkin Lymphoma	Study of ADCT-301 in Patients With Relapsed or Refractory Hodgkin and Non-Hodgkin Lymphoma	ADCT-301	1	NCT02432235
88	"A Single-Center, Open-Label Study to Evaluate the Safety and Efficacy of Nipent, Cytoxan, and Rituxan (""PCR"") in the Treatment of Previously Untreated and Treated, Stage III or IV, Low-Grade B-Cell Non-Hodgkin's Lymphoma or Bulky Lymphoma"	Evaluation of the Safety and Efficacy of Nipent, Cytoxan, and Rituxan	Cytoxan | Nipent | Rituxan	2	NCT00496873
89	A Phase 1 Study of RO4929097 (NSC749225) in Combination With Capecitabine in Refractory Solid Tumors	RO4929097 and Capecitabine in Treating Patients With Refractory Solid Tumors	gamma-secretase/Notch signalling pathway inhibitor RO4929097 | capecitabine	1	NCT01158274
90	Yt90Zevalin Plus CHOP, Z-CHOP	Yt90 Zevalin and Combination Chemotherapy (Z-CHOP)in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-cell Lymphoma	Yttrium 90 -labeled ibritumomab tiuxetan (Zevalin)	2	NCT00386321
91	A Phase 1 Dose Escalation Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of ARQ 531 in Selected Subjects With Relapsed or Refractory Hematologic Malignancies	Safety, PK, PD, and Antitumor Activity of ARQ 531 in Hematologic Malignancies	ARQ 531	1	NCT03162536
92	Multicentre Study to Determine the Cardiotoxicity of R-CHOP (Rituximab, Cyclophosphamide, Doxorubicin, Vincristin and Prednisolone) Compared to R-COMP (Rituximab, Cyclophosphamide, Liposomal Doxorubicin, Vincristin and Prednisolone) in Patients With Diffuse Large B-Cell Lymphoma (NHL-14)	Multicentre Study to Determine the Cardiotoxicity of R-CHOP Compared to R-COMP in Patients With Diffuse Large B-Cell Lymphoma	Rituximab | Cyclophosphamide | Doxorubicin | liposomal Doxorubicin | Vincristin | Prednisolone	2	NCT00575406
93	A Single-center, Open Study Evaluating Efficacy and Safety of XLCART001（CD-19） Treatment in Relapsed/Refractory/High-risk B-cell Malignancy Subjects	XLCART001 Treatment in Relapsed/Refractory/High-risk B-cell Malignancy Subjects	 	2	NCT03598179
94	Phase 2 Study of an Immunotherapeutic Vaccine, DPX-Survivac With Low Dose Cyclophosphamide Administered With Pembrolizumab in Patients With Persistent or Recurrent/Refractory Diffuse Large B-Cell Lymphoma (DLBCL)	DPX-Survivac and Checkpoint Inhibitor in DLBCL	Cyclophosphamide 50mg	2	NCT03349450
95	A Phase I Study of Continuous Oral Administration of SCH 66336 and 5-Fluorouracil/Leucovorin (5FU/LV) in Patients With Advanced Cancer	Combination Chemotherapy in Treating Patients With Advanced Cancer	fluorouracil | leucovorin calcium | lonafarnib	1	NCT00003956
96	Improving Sleep Quality, Psychosocial Functioning, and Cancer Related Fatigue With Light Therapy	To Decrease Fatigue With Light Therapy	 	3	NCT03242902
97	Phase I Study of Activated T-Cells Expressing Second or Third Generation CD19-Specific Chimeric Antigen Receptors for Advanced B-Cell Non-Hodgkin's Lymphoma, Acute Lymphocytic Leukemia and Chronic Lymphocytic Leukemia (SAGAN)	Activated T-Cells Expressing 2nd or 3rd Generation CD19-Specific CAR, Advanced B-Cell NHL, ALL, and CLL (SAGAN)	Fludarabine | Cyclophosphamide	1	NCT01853631
98	Autologous Transplantation and Stem Cell-Based Gene Therapy With LVsh5/C46 (CAL-1), a Dual Anti-HIV Lentiviral Vector, for the Treatment of HIV-Associated Lymphoma	Gene-Modified HIV-Protected Stem Cell Transplant in Treating Patients With HIV-Associated Lymphoma	 	1	NCT02378922
99	Randomized Phase II Study Of Interleukin-12 In Combination With Rituximab In Patients With Non-Hodgkin's Lymphoma	Rituximab and Interleukin-12 in Treating Patients With B-Cell Non-Hodgkin's Lymphoma	 	2	NCT00026182
100	PHASE I STUDY OF ANTI-TAC(Fv)-PE38 (LMB-2), A RECOMBINANT SINGLE-CHAIN IMMUNOTOXIN FOR TREATMENT OF TAC-EXPRESSING MALIGNANCIES	Immunotoxin in Treating Patients With Leukemia or Lymphoma	 	1	NCT00002765
101	Immunotherapy With NK Cell, Rituximab and Rhu-GMCSF in Non-Myeloablative Allogeneic Stem Cell Transplantation	Immunotherapy With NK Cell, Rituximab and Rhu-GMCSF in Non-Myeloablative Allogeneic Stem Cell Transplantation	GM-CSF | Rituximab	1	NCT00383994
102	Phase II Trial Ofatumumab for Initial Systemic Treatment of Indolent B-cell Lymphoma	Ofatumumab for Initial Systemic Treatment of Indolent B-cell Lymphoma	ofatumumab	2	NCT01239394
103	A Phase I Study Of Yttrium-Ibritumomab Tiuxetan (90Y Zevalin, Yttrium (90)-Anti-CD20, NSC # 710085) Preceded By Rituximab In Children With Recurrent/Refractory CD20 Positive Lymphoma	Radiolabeled Monoclonal Antibody With or Without Peripheral Stem Cell Transplantation in Treating Children With Recurrent or Refractory Lymphoma	 	1	NCT00036855
104	Study of Anti-CD19 Chimeric Antigen Receptor T Cells（PZ01） for Relapsed/ Refractory B-cell Acute Lymphoblastic Leukemia/B Cell Lymphoma	Efficacy and Safety of PZ01 Treatment in Patients With r/r CD19+ B-cell Acute Lymphoblastic Leukemia/B Cell Lymphoma	PZ01 CAR-T cells	1	NCT03281551
105	A Phase 1 Multidose Study to Evaluate the Safety and Tolerability of XmAb13676 in Patients With CD20-Expressing Hematologic Malignancies	Study to Evaluate Safety and Tolerability of XmAb13676 in Patients With CD20-expressing Hematologic Malignancies	 	1	NCT02924402
106	Pharmacokinetic and Phase I Study of Sorafenib (BAY 43-9006, NSC 724772, IND 69896) for Solid Tumors and Hematologic Malignancies in Patients With Hepatic or Renal Dysfunction	Sorafenib in Treating Patients With Metastatic or Unresectable Solid Tumors, Multiple Myeloma, or Non-Hodgkin's Lymphoma With or Without Impaired Liver or Kidney Function	sorafenib tosylate	1	NCT00118170
107	Randomized Phase II Study of Two Associations of Rituximab and Chemotherapy, With a PET -Driven Strategy, in Patients From 18 to 59 With DLBCL CD20+ Lymphoma and 2 or 3 Adverse Prognostic Factors of the Age-adjusted IPI	A Study of Two Associations of Rituximab and Chemotherapy, With a PET-driven Strategy, in Lymphoma	R-CHOP14 induction regimen | R-ACVBP14 induction regimen	2	NCT00498043
108	Early Evaluation of the Response of Large B Cell Non Hodgkin’s Lymphoma to Chemotherapy by Positron Emission Tomography Coupled With Computed Tomography (PET/CT)	Early Evaluation of the Response of Large B Cell Non Hodgkin’s Lymphoma to Chemotherapy by PET/CT	 	2	NCT00256490
109	Feasibility Study of CO-administering Combination Antiretroviral Therapy (cART) and R-EPOCH Chemotherapy for the Management of Acquired Immunodeficiency Syndrome (AIDS)-Related Lymphoma	A Feasibility Study of Co-administering Combination Antiretroviral Therapy (cART) and R-EPOCH Chemotherapy for the Management of ARL	R-EPOCH and cART	2	NCT00799136
110	IELSG37: A Randomized, Open-label, Multicentre, Two-arm Phase III Comparative Study Assessing the Role of Involved Mediastinal Radiotherapy After Rituximab Containing Chemotherapy Regimens to Patients With Newly Diagnosed Primary Mediastinal Large B-Cell Lymphoma (PMLBCL)	Randomized, Open-label, Two-arms, Phase III Comparative Study Assessing the Role of Involved Mediastinal Radiotherapy After Rituximab Containing Chemotherapy Regimens to Patients With Newly Diagnosed Primary Mediastinal Large B-Cell Lymphoma	 	2	NCT01599559
111	A Phase 1a/1b, Multicenter, Open Label, Dosefinding Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of the Dual Dna-pk and Tor Kinase Inhibitor, Cc-115, Administered Orally to Subjects With Advanced Solid Tumors and Hematologic Malignancies	Study to Assess Safety and Tolerability of Oral CC-115 for Patients With Advanced Solid Tumors, and Hematologic Malignancies.	CC-115	1	NCT01353625
112	Phase I Study of Escalating Doses of Radiation Therapy Using Helical Tomotherapy in Combination With Fludarabine (FLU) and Melphalan (MEL) as a Preparative Regimen for Allogeneic Hematopoietic Stem Cell (HSC) Transplantation in Patients With Advanced and Hematological Malignancies Who Are Not Eligible for Fully Myeloablative Regimen	Total Marrow and Total Lymph Node Irradiation, Fludarabine, and Melphalan Followed By Donor Stem Cell Transplant in Treating Patients With Advanced Hematological Cancer That Has Not Responded to Treatment	fludarabine phosphate | melphalan	1	NCT00800150
113	Pharmacokinetics of Continuous Infusion Fentanyl in Cancer Patients	Studying Fentanyl in Patients With Cancer	fentanyl citrate		NCT00899951
114	A Phase II, Open-Label, Multicenter Study of Efficacy, Safety, and Biomarkers in Patients With Previously Untreated Advanced Diffuse Large B-Cell Lymphoma Treated With GA101 (RO5072759) in Combination With CHOP Chemotherapy	A Study of Obinutuzumab [RO5072759 (GA101)] in Combination With CHOP Chemotherapy in Patients With Previously Untreated Advanced Diffuse Large B-Cell Lymphoma (GATHER)	obinutuzumab | cyclophosphamide | doxorubicin | prednisone | vincristine	2	NCT01414855
115	Safety and Efficacy Study of Mitoxantrone Hydrochloride Liposome Injection Plus Cyclophosphamide,Vincristine and Prednison (CNOP)in Diffuse Large B Cell Lymphoma	Safety and Efficacy Study of CNOP Chemotherapy in Diffuse Large B Cell Lymphoma	Cyclophosphamide | Vincristine | Prednisone	1	NCT02595242
116	A Phase Ib/II Study Evaluating the Safety and Efficacy of Obinutuzumab in Combination With Polatuzumab Vedotin and Lenalidomide in Patients With Relapsed or Refractory Follicular Lymphoma and Rituximab in Combination With Polatuzumab Vedotin and Lenalidomide in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	A Study of Obinutuzumab, Polatuzumab Vedotin, and Lenalidomide in Relapsed or Refractory Follicular Lymphoma (FL) and Rituximab in Combination With Polatuzumab Vedotin and Lenalidomide in Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)	Lenalidomide | Obinutuzumab | Polatuzumab Vedotin | Rituximab	1	NCT02600897
117	A Phase I Study Of Medi 522 In Patients With Advanced Tumors	Monoclonal Antibody Therapy in Treating Patients With Refractory Advanced Solid Tumors or Lymphoma	 	1	NCT00049712
118	An Open-label Phase II Study of BKM120 in Patients With Relapsed and Refractory Diffuse Large B-cell Lymphoma, Mantle Cell Lymphoma and Follicular Lymphoma	Safety and Efficacy of BKM120 in Relapsed and Refractory NHL	BKM120	2	NCT01693614
119	Phase II Prospective Trial of Addition of Rituximab to Reduced Dose CHOP Chemotherapy in DLBC L Patients Aged 65 Years and Over	Phase II Prospective Trial of Addition of Rituximab to Reduced Dose CHOP Chemotherapy in DLBC L Patients Aged 65 Years and Over	Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, Prednisone	2	NCT02792491
120	A Preliminary Study to Evaluate the Effects of Palifermin in Patients at Risk of Chronic Graft-versus-host Disease	Palifermin in Preventing Chronic Graft-Versus-Host Disease in Patients Who Have Undergone Donor Stem Cell Transplant for Hematologic Cancer	 	2	NCT01233921
121	A Phase 2/3, Multicenter, Randomized, Open-label Study to Compare the Efficacy and Safety of Lenalidomide (Revlimid ®) Versus Investigator's Choice in Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma	Study of Lenalidomide to Evaluate Safety and Effectiveness in Patients With Diffuse Large B-Cell Lymphoma (DLBCL)	Lenalidomide | Gemcitabine | Oxaliplatin | Rituximab | Etoposide	2 3	NCT01197560
122	A Phase II Trial of Doxil, Rituximab, Cyclophosphamide, Vincristine, and Prednisone (DR-COP) in Patients With Newly Diagnosed AIDS-Associated B-Cell Non-Hodgkin's Lymphoma	Combination Chemotherapy and Rituximab in Treating Patients With Newly Diagnosed AIDS-Related B-Cell Non-Hodgkin's Lymphoma	cyclophosphamide | pegylated liposomal doxorubicin hydrochloride | prednisone | vincristine sulfate	2	NCT00389818
123	A Phase I Clinical Study of Dual Specificity CD19 and CD22 Chimeric Antigen Receptor T Cell Therapy in Relapsed or Refractory Lymphoma.	Safety and Efficacy Study of Dual Specificity CD19 and CD22 CAR-T Cell Immunotherapy in Relapsed or Refractory Lymphoma	Dual Specificity CD19 and CD22 CAR-T Cell Immunotherapy	1	NCT03593109
124	Evaluation of Human Immune Responses to Influenza Virus Vaccination in Patients With Lymphoma	Evaluation of Human Immune Responses to Influenza Virus Vaccination in Patients With Lymphoma	 	1	NCT03501576
125	Cinobufacini Tablets Combined With R-CHOP Protocol (Rituximab + Vindesine + Cyclophosphamide + Epirubicin + Prednisone)/CHOP in Treatment of Diffuse Large B Cell Lymphoma: A Phase II Randomized, Controlled and Multi-center Study	Cinobufacini Tablets Combined With Chemotherapeutic Protocol in Treatment of Diffuse Large B Cell Lymphoma	vindesine | cyclophosphamide | Epirubicin | prednisone tablets | Cinobufacini Tablets | Rituximab	2 3	NCT02871869
126	A Phase I/II Study of Carfilzomib Plus Lenalidomide and Rituximab in the Treatment of Relapsed/Refractory B-Cell Non-Hodgkin Lymphoma	Phase I/II Carfilzomib Plus Lenalidomide and Rituximab in the Treatment of Relapsed/Refractory Mantle Cell Lymphoma	Carfilzomib | Lenalidomide | Rituximab	1 2	NCT01729104
127	Phase I/II Study of Clofarabine Plus Cyclophosphamide for Relapsed and Refractory Acute Lymphoblastic Leukemia (ALL)	Clofarabine and Cyclophosphamide Combination in Acute Lymphoblastic Leukemia Patients	Clofarabine | Cyclophosphamide	1 2	NCT00412243
128	A Phase I Trial of Combination Bryostatin-1 and Vincristine in HIV-Related B-cell Neoplasms	Bryostatin 1 Plus Vincristine in Treating Patients With Recurrent or Refractory HIV-Related Lymphoma	bryostatin 1 | vincristine sulfate	1	NCT00022555
129	A Phase I Trial of the Combination of Lenalidomide and Blinatumomab in Patients With Relapsed or Refractory Non-Hodgkins Lymphoma (NHL)	Lenalidomide and Blinatumomab in Treating Patients With Relapsed Non-Hodgkin Lymphoma	Lenalidomide	1	NCT02568553
130	A Clinical Research of Chimeric Antigen Receptor (CAR) T Cells Targeting CD19 Positive Malignant B-cell Derived Leukemia and Lymphoma	A Clinical Research of CAR T Cells Targeting CD19 Positive Malignant B-cell Derived Leukemia and Lymphoma	 	1 2	NCT02349698
131	AUTOLOGOUS TRANSPLANTATION AND STEM CELL BASED-GENE THERAPY FOR THE TREATMENT OF HIV-ASSOCIATED LYMPHOMA	Genetically Modified Peripheral Blood Stem Cell Transplant in Treating Patients With HIV-Associated Non-Hodgkin or Hodgkin Lymphoma	carmustine | cytarabine | melphalan | etoposide | O6-benzylguanine	1 2	NCT01769911
132	Multi-center Phase II Study of the Combination of R-CHOP (RItuximab Plus Cyclophosphamide, Adriamycin, Vincristine, and Prednisolone) and Prophylactic Intrathecal Chemotherapy With Methotrexate in Patients With CD20+ Primary Breast Diffuse Large B-cell Lymphoma	Study in Patients With Primary Breast Diffuse Large B-cell Lymphoma	Rituximab	2	NCT01448096
133	Adjustment to Illness by Survival Rates in Allogeneic Bone Marrow Transplant (BMT): The Relative Importance of Lay Care-Partner Support	Caregiver Support in the Coping of Patients Who Are Undergoing a Donor Bone Marrow Transplant	 		NCT00281814
134	Cytokine-Based Immunotherapy Following High-Dose Chemotherapy and Autologous Stem Cell Transplantation	Biological Therapy Following Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Cancer	 	2	NCT00003408
135	A Phase II Study to Assess Immunosuppression With Sirolimus Combined With Cyclosporine (CSP) and Mycophenolate Mofetil (MMF) for Prevention of Acute GVHD After Non-myeloablative HLA Class I or II Mismatched Donor Hematopoietic Cell Transplantation- A Multi-center Trial	Sirolimus, Cyclosporine, and Mycophenolate Mofetil in Preventing Graft-versus-Host Disease in Treating Patients With Blood Cancer Undergoing Donor Peripheral Blood Stem Cell Transplant	Cyclosporine | Fludarabine Phosphate | Mycophenolate Mofetil | Sirolimus	2	NCT01251575
136	Prospective, Multicentre Phase II Study With R-CHOP- 14 or R-CHOP-21 & Consolidation PET-Oriented Radiotherapy (RT) in Diffuse Large B Cell Lymphoma (DLBCL) Patients With Low Risk Profile According to Age-adjusted IPI (0 With Bulky or 1)	R-CHOP14 or R-CHOP21 &Consolidation PET-Oriented Radiotherapy (RT) in DLBCL Patients	Treatment plan	2	NCT03364439
137	A Phase I Trial to Evaluate Safety and Immunogenicity of a Cytomegalovirus Peptide Vaccine Co-Injected With PF-03512676 Adjuvant in Recipients of Allogeneic Hematopoietic Stem Cell Transplant	Vaccine Therapy in Preventing Cytomegalovirus Infection in Patients With Hematological Malignancies Undergoing Donor Stem Cell Transplant	 	1	NCT01588015
138	A Prospective Randomised Phase III Trial of Early Hospital Discharge Versus Standard Inpatient Management of Cancer Patients With Low-Risk Febrile Neutropenia Receiving Oral Antibiotics. Oral Antibiotics for Neutropenic Sepsis Giving Early Hospital Discharge [ORANGE]	Early Hospital Discharge or Standard Inpatient Care in Cancer Patients Receiving Antibiotics for Febrile Neutropenia	amoxicillin-clavulanate potassium | ciprofloxacin	3	NCT00445497
139	A Phase II Study of R-CHOP With Intensive CNS Prophylaxis and Scrotal Irradiation in Patients With Primary Testicular Diffuse Large B-cell Lymphoma	Safety and Feasibility Study of Combination of State of Art Chemoimmunotherapy, Intensive Central Nervous System Prophylaxis and Scrotal Irradiation to Treat Primary Diffuse Large B-cell Lymphoma of Testis	Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, Prednisolone, liposomal cytarabine, methotrexate	2	NCT00945724
